id,impressions,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason
70KV9GwdVOM,1,0.05,0.15,0.4,0.3,0.07,0.03,0.35,0.65,"This video likely appeals to younger adults due to its casual and entertaining content style, focusing on food and personal interactions. The greater interest from females may stem from the personal storytelling and relatable food experiences shared by the host."
r-y-c61Bf9A,1,0.0,0.05,0.15,0.3,0.35,0.15,0.7,0.3,"This video likely appeals to an audience interested in aviation incidents and safety, which tends to attract older viewers due to the complexity and technical nature of the content. Additionally, the topic of aviation disasters is often of more interest to males, especially those with a fascination for engineering and mechanics."
4lhoIMwqOOs,1,0.05,0.35,0.4,0.1,0.05,0.05,0.4,0.6,"This video seems to have a strong focus on modern pop culture and music, which typically resonates with younger audiences, particularly teenagers and those in their 20s. Additionally, the themes and style of the content are likely to appeal somewhat more to females due to the emotional and expressive nature of pop music and the visual elements often associated with it."
xmcwJHNH3CQ,1,0.0,0.2,0.5,0.2,0.1,0.0,0.6,0.4,"This video is centered around a post-apocalyptic theme with elements of horror and survival, which typically appeal to a younger audience, particularly those in their 20s. The action and intensity of the storyline are more likely to attract a slightly higher male viewership."
B64cVFHX6mU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
jXhOm7j-C30,1,0.05,0.2,0.4,0.25,0.07,0.03,0.3,0.7,"This video likely appeals to a younger audience, primarily in their 20s and 30s, due to its dramatic storytelling and themes of intrigue and betrayal. The narrative elements also suggest a stronger appeal to female viewers who are more engaged by character-driven and emotional plots."
Tdv_dvdTcOM,1,0.0,0.15,0.5,0.25,0.05,0.05,0.3,0.7,"This video focuses on detailed latte art techniques, which are commonly of interest to young adults who enjoy coffee culture. Additionally, the intricate and artistic nature of the content may appeal more to women who are often more engaged in culinary arts."
Ranh7l7xtk0,1,0.0,0.05,0.15,0.4,0.3,0.1,0.3,0.7,"This video focuses on luxury fashion brands and online shopping trends, which are more likely to appeal to adults with disposable income, particularly those in their 30s and 40s. Given the fashion-centric content, it is also more likely to attract a predominantly female audience interested in luxury goods."
UVHtOGzL9gw,1,0.05,0.15,0.4,0.25,0.1,0.05,0.7,0.3,"This video likely appeals to younger adults who enjoy interactive and communal food experiences, such as cooking and eating together in a unique setting like a boat. The casual and playful tone along with the cooking theme is more likely to attract male viewers, who might be more interested in food-focused adventure content."
afKfgfAVFR8,1,0.0,0.05,0.15,0.35,0.3,0.15,0.3,0.7,"This video likely appeals to viewers interested in dramatic family narratives and personal struggles, which are often more engaging for women. The themes of family dynamics and personal relationships resonate more with audiences in their 30s and 40s."
ceWR8yaERVA,1,0.0,0.05,0.15,0.3,0.3,0.2,0.4,0.6,"This video focuses on abandoned houses and real estate, topics that generally attract viewers interested in home improvement or real estate investment. The majority of these viewers tend to be adults aged 30 and above, with a slightly higher proportion of women who often watch content related to home and lifestyle."
un2PhWjFB-I,1,0.05,0.65,0.25,0.05,0.0,0.0,0.4,0.6,"This video appears to have a playful and humorous tone, likely appealing to a younger audience, especially teenagers who enjoy quirky and light-hearted content. The content's energetic and informal style may attract a slightly higher female viewership due to the playful and interactive nature often associated with such videos."
RAcIPG1uuEo,1,0.0,0.05,0.25,0.4,0.2,0.1,0.45,0.55,"This video discusses detailed nutritional information and health impacts of certain food combinations, which tends to attract viewers who are health-conscious and interested in diet, often those in their 30s and 40s. The content is slightly more likely to attract female viewers due to a general trend of higher interest in nutrition and health-related topics among women."
OfxmlLKtoFs,1,0.05,0.2,0.4,0.2,0.1,0.05,0.5,0.5,This video likely appeals to younger audiences due to its musical and potentially artistic content. The balanced gender distribution suggests broad appeal across both male and female viewers.
Vk3SYV9bzls,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
CjqGIbt5vKQ,1,0.0,0.05,0.2,0.4,0.3,0.05,0.2,0.8,"This video focuses on literary analysis and social themes, which typically attract viewers in their 30s and 40s with a strong interest in literature and social issues. Given the emphasis on feminism and personal growth themes, the content is more likely to appeal to a female audience."
cVCpCur2diU,417,0.0,0.05,0.15,0.35,0.3,0.15,0.3,0.7,"This video is a cooking tutorial that appeals primarily to adults who are interested in cooking and home-making. Women, particularly in the 30s and 40s age range, are more likely to engage with this content as they are often the primary meal planners in households."
wDpJc0t48jE,87,0.01,0.1,0.35,0.4,0.1,0.04,0.3,0.7,"This video discusses celebrity weddings and monetary gifts, topics likely appealing to adults in their 20s to 30s, who are often interested in celebrity culture. The content is more likely to attract female viewers, as they often engage more with celebrity relationship and lifestyle content."
XVI1t-ji7OQ,90,0.0,0.05,0.25,0.4,0.25,0.05,0.3,0.7,"This video is likely to attract viewers who enjoy drama and complex interpersonal relationships, which are common interests among adults, particularly those in their 30s and 40s. The dramatic and emotional tone of the content tends to appeal more to women, who are often the primary audience for televised dramas."
NcAbB-GDsas,70,0.0,0.1,0.2,0.4,0.2,0.1,0.4,0.6,"This video is likely to attract viewers who are interested in complex storylines and corporate intrigue, which may appeal more to an older demographic, particularly those in their 30s and 40s. Additionally, the soap-opera style storytelling and dramatic elements might resonate more with a female audience."
rUe-mxcj3J8,59,0.05,0.15,0.2,0.3,0.2,0.1,0.35,0.65,"This video appears to be a Christian worship service or music concert, which tends to attract a broad age range but skews slightly older as people in their 30s and 40s are more likely to be involved in religious communities. The content is emotionally expressive and communal, which often appeals more to women."
-Yn2PTVCm5o,40,0.0,0.05,0.1,0.35,0.3,0.2,0.4,0.6,"This video is centered around a celebrity wedding featuring Kim Jong-min, which is likely to attract viewers who are familiar with his work and era. The content, focusing on a high-profile wedding, emotional moments, and celebrity appearances, typically resonates more with female viewers, particularly those in their 30s and 40s who may have followed Kim's career over the years."
NKc2E_S_JxQ,36,0.0,0.05,0.15,0.35,0.3,0.15,0.4,0.6,"This video involves medical and professional themes, likely appealing to adults in their 30s and 40s. The content's focus on hospital and work scenarios may also attract slightly more female viewers."
rcQZVncFY7I,332,0.0,0.6,0.3,0.05,0.03,0.02,0.4,0.6,"This video likely targets teenagers and young adults due to the repetitive and catchy nature of its music, which is typically appealing to a younger audience. The focus on emotional and romantic themes may also resonate more with female viewers."
esDRBFi3YjI,21,0.0,0.1,0.3,0.4,0.1,0.1,0.3,0.7,"This video appears to be a drama-focused content involving interpersonal conflicts and emotional narratives, which tends to attract a predominantly female audience. The mature themes and complex storyline are likely to appeal mostly to audiences in their 20s and 30s."
fgsfVMJ8a64,28,0.05,0.35,0.25,0.2,0.1,0.05,0.6,0.4,"This video likely appeals to teenagers and young adults due to its informal and energetic style, often found in content like vlogs. The presence of sports references and casual conversation may attract a slightly more male audience."
fOqe4QUuDoE,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
80YGgEHKSk8,18,0.0,0.0,0.1,0.3,0.4,0.2,0.7,0.3,"This video focuses on agricultural activities and rural life, which are likely to appeal to middle-aged adults, particularly those involved in farming or with an interest in agriculture. The content is also more likely to attract male viewers due to the practical, hands-on nature of the tasks being performed."
1On03_aXD4Y,117,0.0,0.3,0.5,0.1,0.05,0.05,0.2,0.8,"This video is likely to attract a younger audience due to the casual, vlog-style content and the focus on social media interaction, which is popular among teens and young adults. The content revolves around personal lifestyle and beauty, which generally appeals more to a female audience."
czSejptrDvM,17,0.0,0.05,0.15,0.35,0.3,0.15,0.4,0.6,"This video appeals to viewers interested in mindfulness and philosophical life approaches, often appealing to adults in their 30s and 40s. The content may attract more women as they traditionally engage more with self-help and personal growth topics."
XKhIwMKv9Fs,16,0.0,0.1,0.3,0.35,0.15,0.1,0.3,0.7,"This video features in-depth discussions on musical composition and artist analysis, likely appealing to a mature audience with an interest in music critique. The focus on OST and detailed analysis suggests a higher likelihood of being viewed by female viewers who are fans of the artist Im Young Woong."
3s9AKW1u9Fk,16,0.0,0.6,0.35,0.04,0.01,0.0,0.85,0.15,"This video features a lot of gaming jargon and excitement related to a game, particularly appealing to younger audiences. It is most likely to attract teenage male viewers who are interested in gaming and competitive play."
IinksIotaHE,26,0.05,0.1,0.2,0.3,0.25,0.1,0.4,0.6,"This video likely focuses on books and reading, which often attracts a more mature audience interested in literature. Women generally show a higher engagement in book-related content, thus contributing to the gender distribution."
D2b5yikCybI,14,0.0,0.1,0.4,0.3,0.2,0.0,0.3,0.7,"This video likely appeals to a more mature audience interested in social dynamics and interpersonal conflict, often reflected in the 20s to 40s age groups. The content's focus on domestic and social themes may resonate more with women, hence the higher female viewership prediction."
0gCZiFrXt-M,14,0.0,0.05,0.25,0.35,0.25,0.1,0.6,0.4,"This video focuses on political discussions, which may appeal more to adults, especially those in their 30s and 40s who actively engage in civic matters. The content's critical analysis and commentary may attract a slightly higher male audience due to traditional interest patterns in political discourse."
wjxGAPxburw,12,0.1,0.05,0.1,0.2,0.25,0.3,0.3,0.7,"This video features storytelling with moral lessons, which tends to appeal more to an older audience who appreciate traditional narratives. Additionally, the soothing voice and bedtime story format may attract a larger female audience seeking relaxation or inspiration before sleep."
Jwu4PfcV1bg,12,0.005,0.05,0.1,0.3,0.3,0.245,0.65,0.35,"This video focuses on traditional fishing methods and the lifestyle of fishermen, which are often of more interest to older viewers, particularly those in their 30s to 50s. The detailed account of the fishing process and maritime challenges might appeal more to male viewers who have a higher interest in maritime activities."
Mc5AMsdtk3k,25,0.0,0.05,0.1,0.25,0.35,0.25,0.3,0.7,"This video appeals to mature audiences, particularly those in their 30s and 40s, who might relate to the themes of marital challenges and life reflection. The emotional and introspective nature of the content is likely to resonate more with women, who generally engage with relationship-oriented narratives."
Bi1mdYAuy9Q,22,0.0,0.05,0.15,0.25,0.35,0.2,0.2,0.8,"This video mainly discusses the challenges faced by women who took a career break after having children and are now seeking reemployment. The subject matter is more relevant to a female audience, particularly those in their 30s to 50s who might relate to the experience of reentering the workforce."
A7VlHSV-KmA,127,0.05,0.15,0.3,0.3,0.15,0.05,0.45,0.55,"This video appeals to viewers who appreciate emotional storytelling and wildlife, which is often popular among adults in their 20s to 40s. The narrative's depth and emotional engagement also suggest a slight preference among female viewers."
B3ANI5dKDKQ,25,0.05,0.1,0.15,0.3,0.2,0.2,0.3,0.7,"This video contains dramatic themes and emotional storytelling, which are often appealing to older audiences, particularly women. The narrative complexity and focus on family and personal struggles suggest that viewers aged 30 and above may find this content engaging."
T3OEK67gi3k,9,0.0,0.15,0.5,0.3,0.05,0.0,0.3,0.7,"This video appeals to a younger audience, particularly those interested in travel and vlog-style content, which is popular among viewers in their 20s and 30s. The casual and personal tone suggests a higher interest from female viewers who often engage with lifestyle and travel vlogs."
ZwlGlZRV2Vg,8,0.1,0.6,0.2,0.05,0.03,0.02,0.4,0.6,"This video seems to contain elements of fantasy and humor, which are often appealing to teenagers and young adults. Additionally, the narrative style and emotional elements may resonate more with a female audience."
v-1ybfAaX-Y,14,0.0,0.1,0.4,0.3,0.15,0.05,0.6,0.4,"This video focuses on a unique dining experience, likely appealing to younger adults who enjoy exploring new and trendy places. The casual and humorous tone suggests a slightly higher male audience who appreciates food-related content."
pB6a4CMLGXw,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
UzFy61sTAQA,7,0.0,0.05,0.15,0.4,0.25,0.15,0.6,0.4,"This video discusses complex financial matters such as tax and property transactions, which are typically of interest to adults dealing with mortgages or investments. The content is likely more appealing to males, as they traditionally dominate financial and real estate fields."
_voKrk6wEdQ,12,0.0,0.2,0.5,0.2,0.1,0.0,0.7,0.3,"This video features a dynamic and lively discussion about creating music, which resonates strongly with younger audiences in their 20s and 30s who are interested in modern pop culture and entertainment. The presence of energetic and humorous interactions suggests a male-dominated viewership, likely appealing to fans of the music genre and the artists involved."
3xF3eklUYQs,26,0.0,0.2,0.5,0.2,0.1,0.0,0.3,0.7,"This video appeals mainly to younger audiences who are interested in trendy cafes and lifestyle content, particularly those in their 20s. The focus on fashionable cafe spots and light-hearted commentary likely draws more female viewers who enjoy such leisurely content."
wnOazxGOW4Q,13,0.0,0.0,0.1,0.2,0.4,0.3,0.2,0.8,"This video focuses on health and dietary advice which usually appeals to an older audience, particularly those in their 40s and above. Additionally, the emphasis on natural healing and lifestyle changes is more likely to resonate with women, who often take a proactive role in health and wellness."
oleercVSwEQ,55,0.0,0.05,0.2,0.3,0.25,0.2,0.6,0.4,"This video discusses complex legal and constitutional issues, likely attracting viewers with higher education levels, often found in the 30s to 50s age groups. The presence of a law professor and the nature of the debate might appeal slightly more to males, due to historical trends in legal and political interest."
C9o8uINBdRo,22,0.01,0.05,0.1,0.3,0.3,0.24,0.4,0.6,"This video focuses on sleep health and its impact on daily life, which is highly relevant to middle-aged and older adults. Additionally, the content may attract more women due to the emphasis on health and well-being."
WTfiBUhHcOw,54,0.0,0.1,0.5,0.3,0.1,0.0,0.2,0.8,"This video primarily discusses relationships, MBTI, and social interactions, which are topics that typically engage a younger female audience. The casual and humorous tone suggests it is best suited for viewers in their 20s and 30s."
R_wFKJdFOsg,17,0.01,0.1,0.3,0.4,0.1,0.09,0.5,0.5,"This video discusses a complex social issue involving a local community, a spiritual group, and alleged misconduct. Such topics tend to attract viewers in their 20s and 30s who are often interested in investigative journalism and social dynamics, appealing equally to both genders."
NCzS5o0l7dU,45,0.05,0.45,0.3,0.1,0.05,0.05,0.3,0.7,"This video primarily focuses on a food tour featuring popular street foods like 떡볶이, which are particularly favored by younger audiences, especially teenagers. The enthusiastic and casual tone likely appeals more to a female audience who commonly engage with food and lifestyle content on social media."
a0oprf5hJX0,34,0.0,0.05,0.25,0.4,0.2,0.1,0.3,0.7,"This video discusses philosophical and introspective themes about fate, which are likely to resonate more with mature audiences who are reflecting on life. The emotional and contemplative nature of the content might attract a higher percentage of female viewers."
eUC-qYyW50Q,8,0.05,0.3,0.4,0.15,0.05,0.05,0.6,0.4,"This video seems to be targeted towards younger audiences due to its casual and energetic style. The content and presentation suggest a higher interest from males, typically in their teens to twenties."
_hEauJqeeZs,8,0.0,0.3,0.5,0.15,0.05,0.0,0.8,0.2,"This video seems to contain a lot of slang, informal language, and themes that might be more appealing to a younger audience, especially those in their 20s. Additionally, the crude humor and aggressive tone might attract a predominantly male audience."
H-0ERdjwuoc,6,0.05,0.2,0.4,0.25,0.06,0.04,0.6,0.4,This video is likely to attract young adults due to its adventurous and thrilling content related to water parks and extreme activities. The focus on adrenaline-pumping experiences and unique locations suggests a skew towards a male audience interested in extreme sports and travel.
1J3GX4z0IFo,6,0.0,0.1,0.4,0.4,0.1,0.0,0.3,0.7,"This video primarily appeals to young to middle-aged adults due to its focus on lifestyle, food, and personal reflections, which are common interests in these demographics. The content is likely more engaging for women, as it includes themes of home life, cooking, and personal expression often associated with female audiences."
alESIT0a9dc,6,0.05,0.1,0.2,0.35,0.2,0.1,0.6,0.4,"This video likely appeals to a mature audience interested in culinary adventures and spicy food challenges. The focus on taste and spice suggests a demographic that enjoys food exploration, skewing slightly towards men who may be more inclined towards watching and engaging with such content."
P8z2lM6_Ee0,6,0.6,0.3,0.05,0.03,0.01,0.01,0.4,0.6,"This video likely appeals to young children, particularly those in elementary school, due to its school setting and relatable storyline about art competitions and friendships. The themes and characters are more aligned with young girls' interests, which is reflected in the slightly higher female viewership prediction."
rqTcFcXxSHQ,1,0.0,0.1,0.2,0.35,0.3,0.05,0.0,1.0,"This video focuses on crafting, specifically crochet, which typically appeals more to women who are interested in DIY and home crafts. The detailed instructions suggest an audience that is more likely to have the patience and interest for such activities, often found in women aged 30 to 50."
R5L_5qDCEGw,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
Z_8FdiVMYf8,15,0.1,0.2,0.3,0.2,0.15,0.05,0.4,0.6,"This video appears to focus on pet interactions with playful and nurturing themes, which tend to attract more female viewers. Additionally, the casual and light-hearted nature of the content suggests it may appeal broadly to young adults and middle-aged viewers."
aDglbjJ12fo,5,0.7,0.2,0.05,0.025,0.015,0.01,0.45,0.55,"This video primarily consists of music and laughter, suggesting a content style appealing to young children. The gender distribution is slightly skewed towards females, as such content is often enjoyed by young girls."
JoR8ZX68bHU,15,0.0,0.0,0.0,0.1,0.2,0.7,0.7,0.3,"This video is likely to attract an older audience, particularly those who are nearing retirement or have already retired, as it discusses retirement, financial failures, and family dynamics after retirement. Additionally, the perspective of a 60-year-old man may resonate more with a male audience, as it deals with personal challenges men might face during this life phase."
aHjxk_9z7eo,14,0.0,0.1,0.6,0.2,0.1,0.0,0.3,0.7,"This video likely appeals to a younger audience primarily in their 20s who are interested in trendy food locations and casual, informal vlogging content. The conversational style and focus on modern lifestyle themes suggest a stronger interest among women who might enjoy social and travel experiences."
D6Duv738qRg,10,0.0,0.05,0.1,0.2,0.35,0.3,0.7,0.3,"This video focuses on activities and themes like cooking, nature, and traditional foods, which often appeal to an older audience. The casual and unrefined style of the content, combined with the use of more masculine language, may attract a predominantly male viewership."
Cai4Qh_OuxY,15,0.05,0.15,0.3,0.35,0.1,0.05,0.6,0.4,"This video features outdoor activities such as foraging and cooking, which are often appealing to younger adults and middle-aged viewers interested in nature and self-sufficiency. The casual and adventurous tone is slightly more appealing to men, who may enjoy the DIY and exploration elements."
fcSh-VOVXhI,35,0.05,0.1,0.15,0.3,0.25,0.15,0.4,0.6,"This video appears to focus on historical storytelling with a romantic theme, which tends to appeal more to middle-aged adults and women. The traditional setting and character-driven narrative are likely to resonate with viewers in their 30s and 40s."
4WfStc6FMaI,27,0.05,0.7,0.2,0.03,0.01,0.01,0.4,0.6,"This video features uplifting and motivational themes, often resonating with a teen audience. The playful and repetitive music style may also attract a slightly higher female audience interested in pop music elements."
zEt4byYR_Fc,5,0.0,0.1,0.5,0.3,0.1,0.0,0.3,0.7,"This video is likely appealing to viewers interested in travel and cultural experiences, which are popular among young adults. The content seems to resonate more with female viewers, possibly due to the focus on safety and personal interactions while traveling."
rxLdmbl01cQ,5,0.1,0.2,0.2,0.2,0.15,0.15,0.4,0.6,"This video focuses on traditional Korean stories and moral lessons, which might appeal to both older adults who appreciate cultural narratives and younger viewers interested in folklore. The storytelling format and themes of wisdom are likely to attract a slightly higher female audience."
NRTqi-s27_w,5,0.1,0.5,0.3,0.05,0.03,0.02,0.4,0.6,"This video contains elements of fantasy and adventure, which are generally appealing to teenagers. The narrative's emotional and relationship aspects also resonate more with younger audiences and possibly young adults, skewing slightly more towards a female demographic."
3Op6yCrXWdY,18,0.05,0.2,0.4,0.25,0.07,0.03,0.55,0.45,"This video features a mix of mystery and adventure with some humor, which often appeals to a younger audience, especially those in their 20s and 30s. The gender distribution is relatively balanced due to the universal themes of intrigue and character-driven storytelling."
URxEuoklanA,17,0.0,0.05,0.1,0.15,0.2,0.5,0.3,0.7,"This video is likely to appeal to an older audience, particularly those 50 and above, due to its focus on nostalgic music and community interaction. The content also appears to attract more female viewers as it involves social engagement and emotional storytelling."
ih_-yAC7Y-c,29,0.0,0.05,0.25,0.35,0.25,0.1,0.3,0.7,"This video discusses relationship dynamics and emotional intelligence, topics that typically attract an adult audience, predominantly women. The conversational style and focus on interpersonal communication suggest a primary audience of individuals in their 30s and 40s, with some interest from younger adults."
q-BV-ZmO3CI,41,0.05,0.5,0.3,0.1,0.03,0.02,0.6,0.4,"This video heavily features music and applause, suggesting a concert or performance setting, which typically attracts younger audiences, especially teenagers and young adults. The use of music and applause may imply a lively and engaging atmosphere, potentially appealing slightly more to males, who statistically tend to consume more music-related content on YouTube."
yGx0hDu3efE,11,0.1,0.4,0.3,0.1,0.05,0.05,0.3,0.7,"This video appears to focus on social interactions and photo sessions, which may appeal more to younger audiences, especially teenagers and those in their twenties. The informal, casual tone and the emphasis on friendship suggest a higher interest from female viewers."
0AMWc0KpGGg,10,0.0,0.2,0.5,0.2,0.1,0.0,0.4,0.6,"This video likely appeals to younger audiences who enjoy trendy spicy food challenges, which are popular among teenagers and young adults. The mukbang style combined with the host's personal touch suggests a slightly higher female viewership due to its conversational and relatable nature."
4IZhNmrUgQo,10,0.0,0.7,0.2,0.05,0.03,0.02,0.4,0.6,"This video seems to revolve around interpersonal drama and relational dialogue, which often appeals to teenagers and young adults. The conversational and emotional content might attract more female viewers who are generally more engaged with such narratives."
PWj30H9ZAlA,9,0.05,0.6,0.3,0.05,0.0,0.0,0.3,0.7,"This video seems to focus on emotional and dramatic storytelling, which often appeals to teenagers and young adults. The themes of friendship, loss, and emotional connections tend to resonate more with a younger, predominantly female audience."
gt2Z-4pXQZs,5,0.0,0.1,0.1,0.2,0.3,0.3,0.4,0.6,"This video likely appeals to an older audience, particularly those who have experienced love and nostalgia, as suggested by the recurring themes of remembrance and distance. The emotional and sentimental content may resonate more with female viewers."
JLqXeMabsEQ,8,0.0,0.7,0.25,0.05,0.0,0.0,0.3,0.7,"This video has romantic and emotional themes, which are typically appealing to younger audiences, especially teenagers and those in their twenties. The language and style suggest a focus on emotions and relationships, which often attracts a predominantly female audience."
QAc2-WVUbC8,5,0.0,0.6,0.3,0.1,0.0,0.0,0.3,0.7,"This video likely targets teens and young adults due to its themes of love and emotional expression, which resonate more with these age groups. The focus on relationships and romantic expression may also appeal more to a female audience."
XhqcErrjyq4,5,0.0,0.05,0.2,0.35,0.25,0.15,0.4,0.6,"This video likely appeals to audiences interested in urban life and social issues, which tend to attract viewers in their 30s and 40s. The content also resonates with women more due to its focus on community and daily life interactions."
xhqBO48CVmo,6,0.0,0.1,0.1,0.3,0.3,0.2,0.7,0.3,"This video primarily appeals to people interested in real estate and traditional housing, which aligns with audiences in their 30s and 40s. The detailed discussion of property and construction also indicates a stronger male interest."
ySzYHMA69xM,5,0.0,0.05,0.2,0.5,0.2,0.05,0.6,0.4,"This video appeals to viewers interested in fine dining and celebrity culture, which typically attracts a mature audience. The content is likely to resonate more with males due to the presence of male celebrities and sports references."
c-OHDhjWrf4,5,0.0,0.1,0.5,0.3,0.1,0.0,0.4,0.6,"This video likely appeals to a younger audience due to its focus on technology and novelty, which aligns with the interests of people in their 20s and 30s. The playful and imaginative elements suggest a slight skew towards a female audience, who might be more drawn to creative and interactive content."
6DaRMjL359k,15,0.0,0.05,0.35,0.4,0.15,0.05,0.6,0.4,"This video discusses financial habits, wealth-building strategies, and the consequences of consumer behavior, which are topics often relevant to adults in their late 20s and 30s who are establishing or improving financial stability. The content also appeals slightly more to males, who may be more engaged with topics like car expenses and financial independence."
TQP5tvrLlkw,7,0.0,0.1,0.4,0.3,0.15,0.05,0.6,0.4,"This video is likely to appeal to young adults and professionals interested in art and luxury events, which align with the 20s to 30s age group. The content, involving a famous visual artist and high-end social gathering, may attract slightly more male viewers due to the industry focus and networking elements."
wfe9Wcc_b94,1,0.0,0.05,0.2,0.35,0.25,0.15,0.6,0.4,"This video focuses on discussions regarding political conspiracy theories and satirical commentary. Such content is likely to attract an audience interested in politics, predominantly in the age group of 30s to 40s, and a slightly higher male viewership due to the subject matter."
jiDvfUG2IW8,1,0.0,0.05,0.1,0.15,0.25,0.45,0.3,0.7,"This video appears to target an older audience, particularly those over 40, due to its nostalgic and community-oriented themes. The interactive and supportive nature of the content suggests a stronger appeal to female viewers who often engage in such community activities."
rAslJuPKk-8,1,0.05,0.15,0.3,0.25,0.15,0.1,0.5,0.5,"This video primarily consists of music, which tends to appeal to a wide audience across various age groups. The lack of specific content or dialogue makes it equally engaging for both male and female viewers."
4_hHn_s4o9M,1,0.0,0.0,0.05,0.1,0.15,0.7,0.35,0.65,"This video discusses dementia, which is a topic of concern primarily for older adults, especially those over 50, who are more likely to be affected by it. Additionally, the focus on health and wellness may attract a slightly higher female audience, who often engage more in health-related content."
pCoDQa6yesY,1,0.0,0.2,0.3,0.3,0.1,0.1,0.4,0.6,"This video features activities such as gardening and corn harvesting, which are often of interest to young adults and middle-aged viewers who enjoy DIY and lifestyle content. The focus on family and community interactions might appeal slightly more to women interested in homemaking and community projects."
CxwvyyOfupI,1,0.05,0.25,0.4,0.15,0.1,0.05,0.6,0.4,"This video is likely focused on music, which tends to attract a younger audience, especially teenagers and people in their twenties. Additionally, the slight male preference may be due to the genre or style of music featured in the video."
TeF6x9x8x9s,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
HtwH_fwZGis,1,0.05,0.1,0.2,0.3,0.25,0.1,0.6,0.4,"This video seems to feature content such as singing performances and music competitions, which are likely to appeal to a broad range of adult viewers. The presence of nostalgia and classic tunes suggests it may particularly attract people in their 30s and 40s, with a slightly higher male viewership due to its competitive nature."
dgtXWHATCS8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
sQmSG9J_MV0,1,0.1,0.2,0.4,0.2,0.05,0.05,0.6,0.4,This video contains music and sound effects that might appeal to younger audiences who are more engaged with audio content. The likelihood of male viewers is slightly higher as they are often more inclined towards music-focused videos.
Sqd82x7TPn0,1,0.01,0.15,0.55,0.25,0.03,0.01,0.2,0.8,"This video appeals primarily to young adults, particularly women in their 20s and 30s, due to its focus on travel, food exploration, and cultural experiences in Taiwan. The content's casual and personal style resonates more with a female audience who are interested in lifestyle and travel vlogs."
qz5HXrAxpAo,1,0.05,0.25,0.35,0.2,0.1,0.05,0.5,0.5,"This video appears to be focused on music, likely appealing to younger demographics who often engage with music content online. The gender distribution is assumed to be balanced, as music can attract a wide and diverse audience regardless of gender."
HKrZkPDsXk0,1,0.0,0.05,0.15,0.25,0.3,0.25,0.4,0.6,"This video involves emotional storytelling about loss, healing, and human-animal bonds, which typically resonates with middle-aged to older audiences. Additionally, the narrative style and themes of family and healing likely appeal more to female viewers."
VawUaApQP44,1,0.0,0.0,0.1,0.2,0.3,0.4,0.2,0.8,"This video likely appeals to older audiences, primarily those in their 40s and above, due to its themes of loneliness and companionship in later life. Additionally, the narrative style and subject matter may resonate more with women, as it involves emotional connections and life reflections."
-EIl8Yh2gFs,1,0.0,0.05,0.45,0.3,0.15,0.05,0.2,0.8,"This video contains dramatic interpersonal conflict and themes of property disputes, which tend to attract a female audience interested in drama. The complexity of the narrative and the adult themes suggest a primary viewership in the 20s and 30s age range."
O5ldEL-NkrM,1,0.0,0.05,0.15,0.3,0.3,0.2,0.3,0.7,"This video focuses on rural life, agriculture, and family traditions, which often resonate more with viewers in their 30s to 50s, who are more likely to appreciate and relate to the lifestyle portrayed. Additionally, such content is typically more appealing to female viewers who are interested in family and home-related themes."
O3sTbWBQm2s,1,0.0,0.05,0.1,0.3,0.35,0.2,0.2,0.8,"This video focuses on household products and organizational tips, which are typically more appealing to adults responsible for managing a household. The detailed explanation and product recommendations suggest the primary audience would be women in their 30s to 50s, who often seek practical solutions for home management."
GMpAtLSBJe0,1,0.0,0.0,0.1,0.3,0.5,0.1,0.2,0.8,This video is focused on clothing and styling advice which tends to appeal more to women. The emphasis on bright and cheerful clothing for different occasions suggests a target audience of women in their 30s to 50s who are interested in fashion and personal presentation.
6B_wOcRf8qc,1,0.0,0.05,0.1,0.25,0.35,0.25,0.7,0.3,"This video is likely to appeal to viewers interested in technical and practical content, such as changing master passwords on devices. Such topics usually attract a more mature audience, particularly males in their 30s to 50s, who often deal with security and maintenance aspects in personal or professional settings."
aBCd3mucX0M,1,0.01,0.05,0.15,0.3,0.25,0.24,0.3,0.7,"This video focuses on a traditional Korean music competition, specifically the genre of trot, which is popular among middle-aged and older audiences. The emotional storytelling and focus on the traditional music scene likely appeal more to women who are typically more engaged in this cultural content."
QLKXw1-z4Bc,1,0.01,0.05,0.15,0.3,0.3,0.19,0.4,0.6,"This video appears to focus on a competitive music show format, appealing to audiences who enjoy music competitions and emotional performances. The detailed analysis of performances suggests a target demographic of predominantly women in their 30s and 40s, who typically engage with such content."
Xp67dGeEOLo,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
LlamMxC9waw,1,0.2,0.4,0.3,0.05,0.03,0.02,0.55,0.45,"This video appears to focus on family interactions and daily activities, which could appeal to teenagers and young adults interested in family dynamics. The slight male skew in the gender distribution may be due to some of the practical and outdoor activities discussed, such as gardening and toy requests."
